pais,abreviatura,posicion,nombre_completo,nombres,apellidos,nombre_camiseta,idioma
Algeria,ALG,PO,MASTIL Melvin,Melvin Feycal,MASTIL,MASTIL,ES
Algeria,ALG,DF,MANDI Aissa,Aissa,MANDI,MANDI,ES
Algeria,ALG,DF,ABADA Achref,Achref,ABADA,ABADA,ES
Algeria,ALG,DF,TOUGAI Mohamed Amine,Mohamed Amine,TOUGAI,TOUGAI,ES
Algeria,ALG,DF,BELAID Zineddine,Zineddine,BELAÏD,BELAID,ES
Algeria,ALG,MC,ZERROUKI Ramiz,Ramiz Larbi,ZERROUKI,ZERROUKI,ES
Algeria,ALG,DC,MAHREZ Riyad,Riyad Karim,MAHREZ,MAHREZ,ES
Algeria,ALG,MC,AOUAR Houssem,Houssem-Eddine Chaabane,AOUAR,AOUAR,ES
Algeria,ALG,DC,GOUIRI Amine,Amine Ferid,GHOUIRI,GOUIRI,ES
Algeria,ALG,MC,CHAIBI Fares,Fares,CHAIBI,CHAIBI,ES
Algeria,ALG,DC,HADJ MOUSSA Anis,Anis,HADJ MOUSSA,HADJ MOUSSA,ES
Algeria,ALG,DC,BENBOUALI Nadhir,Ahmed Nadhir,BENBOUALI,BENBOUALI,ES
Algeria,ALG,DF,HADJAM Jaouen,Jaouen Djimmy,HADJAM,HADJAM,ES
Algeria,ALG,MC,BOUDAOUI Hicham,Hicham,BOUDAOUI,BOUDAOUI,ES
Algeria,ALG,DF,AIT-NOURI Rayan,Rayan,AÏT-NOURI,AIT NOURI,ES
Algeria,ALG,PO,BENBOT Oussama,Oussama,BENBOT,BENBOT,ES
Algeria,ALG,DF,BELGHALI Ra«k,Ra«k,BELGHALI,BELGHALI,ES
Algeria,ALG,DC,AMOURA Mohamed,Mohammed Elamine,AMOURA,AMOURA,ES
Algeria,ALG,MC,BENTALEB Nabil,Nabil,BENTALEB,BENTALEB,ES
Algeria,ALG,DC,BOULBINA Adil,Adil,BOULBINA,BOULBINA,ES
Algeria,ALG,DF,BENSEBAINI Ramy,Amir Selmane Rami,BENSEBAINI,BENSEBAINI,ES
Algeria,ALG,MC,MAZA Ibrahim,Ibrahim,MAZA,MAZA,ES
Algeria,ALG,PO,ZIDANE Luca,Luca Zinedine,ZIDANE,ZIDANE,ES
Algeria,ALG,MC,TITRAOUI Yassine,Yassine M E G,TITRAOUI,TITRAOUI,ES
Algeria,ALG,DC,GHEDJEMIS Fares,Fares,GHEDJEMIS,GHEDJEMIS,ES
Algeria,ALG,DF,CHERGUI Samir,Samir Sophian,CHERGUI,CHERGUI,ES
Argentina,ARG,PO,MUSSO Juan,Juan Agustín,MUSSO,MUSSO,ES
